grviIn,meanRefR,meanRefG,illumR,illumG,blockIdx,sunRoll,sunPitch,sunYaw,camRoll,camPitch,camYaw,grviOut
0.2935284972190857,0.0006740565877407,0.0011789638083428,550.956812,480.270977,0.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1550569683313369
0.255916565656662,0.0007662195130251,0.0012787426821887,550.956812,480.270977,1.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.121730588376522
0.2361705899238586,0.0007521974039264,0.0012182088103145,550.956812,480.270977,2.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.0993751063942909
0.2169009149074554,0.0007477594772353,0.0011899168603122,550.956812,480.270977,3.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.0998861715197563
0.244525134563446,0.0007302041631191,0.0011937140952795,550.956812,480.270977,4.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.0974565222859382
0.2405754476785659,0.0007506952970288,0.0012177391909062,550.956812,480.270977,5.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1009046360850334
0.2406025379896164,0.000700524833519,0.0011340784840285,550.956812,480.270977,6.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1036196872591972
0.2714993357658386,0.0007282979786396,0.0012185734231024,550.956812,480.270977,7.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.128982588648796
0.2343719154596328,0.0007493466837331,0.0012011606013402,550.956812,480.270977,8.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1069609224796295
0.2099941670894622,0.0006855978863313,0.001062324270606,550.956812,480.270977,9.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.0893934220075607
0.2279923558235168,0.0005848923465237,0.0009290777961723,550.956812,480.270977,10.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.0951745063066482
0.2481715828180313,0.0005939890979789,0.00096467777621,550.956812,480.270977,11.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1177772805094719
0.2945715188980102,0.0005247770459391,0.000899352133274,550.956812,480.270977,12.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1386119276285171
0.2254834324121475,0.0004413395363371,0.0006825482705608,550.956812,480.270977,13.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1082723066210746
0.2643856704235077,0.0003942014882341,0.0006450423388741,550.956812,480.270977,14.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1287239491939544
0.2124436795711517,0.000359938974725,0.0005500164115801,550.956812,480.270977,15.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.0943100899457931
0.3118461370468139,0.0003541836922522,0.0006190511048771,550.956812,480.270977,16.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1586023867130279
0.2612006068229675,0.0002602000895421,0.0004203578864689,550.956812,480.270977,17.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1167173981666565
0.2878912687301636,0.0002730561827775,0.0004590797179844,550.956812,480.270977,18.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1310867220163345
0.2796536982059479,0.000246428331593,0.0004023566143587,550.956812,480.270977,19.0,180.0,-42.301559,-85.835487,-0.0,-20.084,-0.0,0.1331412643194198
0.2905123233795166,0.0006811722996644,0.0011870091548189,550.956812,480.270977,0.0,180.0,-42.301559,-85.835487,-0.0,-20.058,-0.0,0.1381617486476898
